0.077,0.154,0,0.1,1,0,0
0.154,0.077,0,1.0,1,0,0
0.538,0.231,0,1.0,1,0,0
0.769,0.308,0,0.9,1,0,0
0.769,0.846,0,0.8,0,0,1
0.462,0.231,0,0.7,1,0,0
0.615,0.154,1,1.0,0,1,0
0.077,0.923,0,0.8,0,0,1
0.385,0.308,0,0.7,1,0,0
0.231,0.462,0,0.5,1,0,0
0.077,0.308,0,0.3,1,0,0
0.231,0.308,0,0.2,1,0,0
0.308,0.692,0,1.0,0,1,0
0.615,0.692,0,0.8,1,0,0
0.846,0.769,0,0.7,0,0,1
0.462,0.538,0,0.5,1,0,0
0.154,0.385,0,0.3,1,0,0
0.769,0.154,0,0.2,1,0,0
0.308,0.615,0,1.0,1,0,0
0.615,0.154,0,0.8,1,0,0
0.308,0.769,0,0.8,0,1,0
0.615,0.692,1,0.5,0,1,0
0.308,0.769,0,0.3,1,0,0
0.077,0.231,0,0.2,1,0,0
0.769,0.154,0,1.0,1,0,0
0.692,0.692,0,0.8,0,1,0
0.385,0.846,1,0.7,0,1,0
0.923,0.462,0,0.5,0,0,1
0.154,0.385,0,0.3,1,0,0
0.923,0.692,0,0.5,0,0,1
0.154,0.846,0,0.7,0,1,0
0.154,0.385,0,0.2,1,0,0
0.846,0.923,0,0.3,0,0,1
0.769,0.615,1,0.5,0,1,0
0.538,0.538,0,0.2,0,1,0
0.308,0.308,0,1.0,1,0,0
0.692,0.692,0,0.3,0,1,0
0.923,0.615,0,0.2,0,0,1
0.308,0.308,0,0.3,1,0,0
0.462,0.846,0,1.0,0,1,0
0.077,0.846,1,0.5,0,1,0
0.077,0.692,0,1.0,1,0,0
0.154,0.462,0,0.2,1,0,0
0.692,0.308,1,0.3,1,0,0
0.154,0.615,0,0.5,1,0,0
0.308,0.538,0,1.0,1,0,0
0.077,0.846,0,0.2,1,0,0
0.231,0.923,1,0.3,0,1,0
0.077,0.615,0,0.5,1,0,0
0.462,0.615,0,1.0,0,1,0
0.615,0.846,0,0.2,0,1,0
0.154,0.462,0,0.2,1,0,0
0.231,0.538,0,0.3,1,0,0
0.923,0.385,0,1.0,0,1,0
0.923,0.846,0,0.2,0,0,1
0.077,0.692,0,0.5,1,0,0
0.154,0.615,1,1.0,1,0,0
0.846,0.154,0,0.2,1,0,0
0.462,0.308,0,0.3,1,0,0
0.077,0.231,0,0.8,1,0,0
0.846,0.923,0,0.8,0,0,1
0.538,0.077,0,0.2,1,0,0
0.308,0.769,1,0.3,0,1,0
0.923,0.154,0,0.7,1,0,0
0.769,0.923,1,0.8,0,0,1
0.769,0.769,0,1.0,0,1,0
0.077,0.154,0,0.2,1,0,0
0.385,0.231,1,0.7,1,0,0
0.769,0.692,0,1.0,0,1,0
0.846,0.692,0,0.2,0,0,1
0.769,0.846,0,0.3,0,0,1
0.308,0.923,1,0.5,0,1,0
0.846,0.154,0,0.8,1,0,0
0.923,0.615,0,0.7,0,0,1
0.692,0.538,0,0.2,0,1,0
0.231,0.308,1,0.3,0,1,0
0.308,0.231,0,0.5,1,0,0
0.846,0.615,1,0.7,0,1,0
0.923,0.077,0,1.0,1,0,0
0.538,0.846,0,0.2,1,0,0
0.615,0.231,1,0.3,1,0,0
0.692,0.308,1,0.5,1,0,0
0.615,0.308,0,0.7,1,0,0
0.538,0.538,0,0.8,0,1,0
0.385,0.231,0,1.0,1,0,0
0.615,0.077,0,1.0,1,0,0
0.692,0.769,1,0.2,0,0,1
0.692,0.692,0,0.8,0,0,1
0.615,0.615,0,0.8,0,0,1
0.308,0.769,0,0.3,1,0,0
0.769,0.154,0,0.2,1,0,0
0.154,0.385,0,0.3,1,0,0
0.462,0.538,0,0.5,1,0,0
0.846,0.769,0,0.7,0,0,1
0.615,0.692,0,0.8,0,1,0
0.308,0.692,0,1.0,1,0,0
0.231,0.308,0,0.2,1,0,0
0.077,0.308,0,0.3,1,0,0
0.231,0.462,0,0.5,1,0,0
0.077,0.923,1,0.8,1,0,0
0.615,0.154,0,1.0,0,1,0
0.769,0.846,0,0.8,0,0,1
0.769,0.308,0,0.9,0,1,0
0.462,0.077,0,0.1,1,0,0
0.923,0.538,0,1.0,0,0,1
0.769,0.923,0,1.0,0,0,1
0.769,0.538,1,1.0,0,1,0
0.769,0.692,1,0.2,0,1,0
